High and Low,Ray,The Gathering,Where's That Fire?,Red Ensign,Distant Lights,Moonraker,Star Trek II: The Wrath of Khan,The Lion Has Wings,White Man's Burden,Tora! Tora! Tora!,Wilson,The Battle of Algiers
Das Boot,The Ballad of Josie,Blue in the Face,Street Fighter II: The Animated Movie,Addams Family Reunion,The Barchester Chronicles,Imaginary Heroes,No Man's Land,The Sunchaser,Pride,Night Has a Thousand Eyes,Bleach: Memories of Nobody,Robot Jox
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,It's a Wonderful World,Diner,84 Charing Cross Road,A Yank at Oxford,Way for a Sailor,After Hours,The Jazz Singer,North Country,My Blue Heaven,Closet Land,Lilo & Stitch,Dead Presidents
The Green Mile,The Mummy 3,Fast Food Nation,Tugboat Annie,Little Children,Behind the Green Door,Dil Chahta Hai,Death Becomes Her,The War Lord,The Nutty Professor,The Spiderwick Chronicles,Robin and Marian,The Moon-Spinners
The Silence of the Lambs,Deadline at Dawn,Eddie's Million Dollar Cook-Off,Playing God,Goodbye Again,Sinbad: Legend of the Seven Seas,The Zodiac Killer,The Internecine Project,Header,The Iron Mask,"Monsters, Inc.",Goners,The Bishop's Wife
Goodfellas,Top Hat,The Bone Collector,The World of Henry Orient,Take Me Out to the Ballgame,Action of the Tiger,Presence of Mind,Demolition Man,Death Becomes Her,Body Double,The Hound of the Baskervilles,The Sniper,The Namesake
"The Good, the Bad and the Ugly",The Great Escape,Blood and Roses,Pink Flamingos,The Lives of Others,You and Your Stupid Mate,Pandora's Box,Duck! The Carbine High Massacre,Kicking & Screaming,Clownhouse,Eve's Bayou,Pride,The Lost Patrol
Forrest Gump,Le Grand Bleu,Clueless,Shakespeare in Love,GoldenEye,Roadie,The Good Earth,Wes Craven's New Nightmare,Julia,Games of Love and Chance,How Green Was My Valley,Lupin the Third: Farewell to Nostradamus,Star Trek II: The Wrath of Khan
The Godfather Part II,Reservation Road,Wonder Boys,Hearts of Darkness: A Filmmakers's Apocalypse,The Secret Garden,D.C. Cab,Halloween,Trucker,The Faculty,40 Days and 40 Nights,Deadly Friend,Ocean's Thirteen,School for Scoundrels
Schindler's List,Teenage Mutant Ninja Turtles,Americathon,Maangamizi: The Ancient One,Condorman,Seeing Other People,Pennies from Heaven,The Gathering,Burglar,Midnight,Hood of Horror,Over the Hedge,Cop
The Godfather,Aachi & Ssipak,Dhadkan,Peyton Place,Let's Do It Again,Zavallilar,Red Riding: 1983,The Clock,Curse of the Pink Panther,The Honeymooners,"Ladies and Gentlemen, The Fabulous Stains",Puppet Master III,Caddyshack
